lambda,weights,risk,return,objective
0.2,"[1.59145247e-22 2.00000000e-01 2.00000000e-01 1.88604872e-01
 2.00000000e-01 4.20454844e-02 1.69349644e-01]",0.03623906838048403,0.20690856169896132,-0.02326217814955025
0.5,"[6.80943822e-22 2.00000000e-01 2.00000000e-01 2.00000000e-01
 2.00000000e-01 1.46496440e-01 5.35035602e-02]",0.03978901028410353,0.21210506880368396,-0.08615802925979021
1.0,"[0.         0.2        0.2        0.2        0.2        0.19999941
 0.        ]",0.04259649311515183,0.21454831464149726,-0.19325006808392134
1.5,[0.  0.2 0.2 0.2 0.2 0.2 0. ],0.04259655464440312,0.2145484387363668,-0.30052438078234867
2.0,[0.  0.2 0.2 0.2 0.2 0.2 0. ],0.04259655464440312,0.2145484387363668,-0.40779860015053204
3.0,[0.  0.2 0.2 0.2 0.2 0.2 0. ],0.04259655464440312,0.2145484387363668,-0.6223470388868989
5.0,[0.  0.2 0.2 0.2 0.2 0.2 0. ],0.04259655464440312,0.2145484387363668,-1.0514439163596325
